
Euro,4.493,22-07-2021 15:20
Dólar de N.A.,3.948,22-07-2021 15:21
Libra Esterlina,5.115,22-07-2021 15:21
Peso Mexicano,0.177,22-07-2021 15:21
Euro,4.493,22-07-2021 15:21
Dólar de N.A.,3.948,22-07-2021 15:21
Libra Esterlina,5.115,22-07-2021 15:21
Peso Mexicano,0.177,22-07-2021 15:21
Euro,4.493,22-07-2021 15:21
Dólar de N.A.,3.948,22-07-2021 15:22
Libra Esterlina,5.115,22-07-2021 15:22
Peso Mexicano,0.177,22-07-2021 15:22
Euro,4.493,22-07-2021 15:22
Dólar de N.A.,3.948,22-07-2021 15:23
Libra Esterlina,5.115,22-07-2021 15:23
Peso Mexicano,0.177,22-07-2021 15:23
Euro,4.493,22-07-2021 15:23
Dólar de N.A.,3.948,22-07-2021 15:28
Libra Esterlina,5.115,22-07-2021 15:28
Peso Mexicano,0.177,22-07-2021 15:28
Euro,4.493,22-07-2021 15:28
Dólar de N.A.,3.948,22-07-2021 15:29
Libra Esterlina,5.115,22-07-2021 15:29
Peso Mexicano,0.177,22-07-2021 15:29
Euro,4.493,22-07-2021 15:29
Dólar de N.A.,3.948,22-07-2021 15:29
Libra Esterlina,5.115,22-07-2021 15:29
Peso Mexicano,0.177,22-07-2021 15:29
Euro,4.493,22-07-2021 15:29
Dólar de N.A.,3.948,22-07-2021 15:31
Libra Esterlina,5.115,22-07-2021 15:31
Peso Mexicano,0.177,22-07-2021 15:31
Euro,4.493,22-07-2021 15:31
Dólar de N.A.,3.948,22-07-2021 15:32
Libra Esterlina,5.115,22-07-2021 15:32
Peso Mexicano,0.177,22-07-2021 15:32
Euro,4.493,22-07-2021 15:32
Dólar de N.A.,3.948,22-07-2021 15:32
Libra Esterlina,5.115,22-07-2021 15:32
Peso Mexicano,0.177,22-07-2021 15:32
Euro,4.493,22-07-2021 15:32
Dólar de N.A.,3.948,22-07-2021 15:34
Libra Esterlina,5.115,22-07-2021 15:34
Peso Mexicano,0.177,22-07-2021 15:34
Euro,4.493,22-07-2021 15:34
Dólar de N.A.,3.948,22-07-2021 15:34
Libra Esterlina,5.115,22-07-2021 15:34
Peso Mexicano,0.177,22-07-2021 15:34
Euro,4.493,22-07-2021 15:34
Dólar de N.A.,3.948,22-07-2021 16:24
Libra Esterlina,5.115,22-07-2021 16:24
Peso Mexicano,0.177,22-07-2021 16:24
Euro,4.493,22-07-2021 16:24
Dólar de N.A.,3.948,22-07-2021 16:27
Libra Esterlina,5.115,22-07-2021 16:27
Peso Mexicano,0.177,22-07-2021 16:27
Euro,4.493,22-07-2021 16:27
Dólar de N.A.,3.948,22-07-2021 16:27
Libra Esterlina,5.115,22-07-2021 16:27
Peso Mexicano,0.177,22-07-2021 16:27
Euro,4.493,22-07-2021 16:27
Dólar de N.A.,3.948,22-07-2021 16:30
Libra Esterlina,5.115,22-07-2021 16:30
Peso Mexicano,0.177,22-07-2021 16:30
Euro,4.493,22-07-2021 16:30
Dólar de N.A.,3.948,22-07-2021 16:30
Libra Esterlina,5.115,22-07-2021 16:30
Peso Mexicano,0.177,22-07-2021 16:30
Euro,4.493,22-07-2021 16:30
<b>VENTA</b>,S/M,22-07-2021 16:30
Dólar de N.A.,3.948,22-07-2021 16:32
Libra Esterlina,5.115,22-07-2021 16:32
Peso Mexicano,0.177,22-07-2021 16:32
Euro,4.493,22-07-2021 16:32
<b>COMPRA</b>,S/M,22-07-2021 16:32
Dólar de N.A.,3.948,22-07-2021 16:33
Libra Esterlina,5.115,22-07-2021 16:33
Peso Mexicano,0.177,22-07-2021 16:33
Euro,4.493,22-07-2021 16:33
Dólar de N.A.,3.948,22-07-2021 16:34
Libra Esterlina,5.115,22-07-2021 16:34
Peso Mexicano,0.177,22-07-2021 16:34
Euro,4.493,22-07-2021 16:34
Dólar de N.A.,3.948,22-07-2021 16:35
Libra Esterlina,5.115,22-07-2021 16:35
Peso Mexicano,0.177,22-07-2021 16:35
Euro,4.493,22-07-2021 16:35
Dólar de N.A.,3.948,22-07-2021 16:44
Libra Esterlina,5.115,22-07-2021 16:44
Peso Mexicano,0.177,22-07-2021 16:44
Euro,4.493,22-07-2021 16:44
Dólar de N.A.,3.948,22-07-2021 16:44
Libra Esterlina,5.115,22-07-2021 16:44
Peso Mexicano,0.177,22-07-2021 16:44
Euro,4.493,22-07-2021 16:44
Dólar de N.A.,3.948,22-07-2021 16:44
Libra Esterlina,5.115,22-07-2021 16:44
Peso Mexicano,0.177,22-07-2021 16:44
Euro,4.493,22-07-2021 16:44
Dólar de N.A.,3.948,22-07-2021 16:44
Libra Esterlina,5.115,22-07-2021 16:44
Peso Mexicano,0.177,22-07-2021 16:44
Euro,4.493,22-07-2021 16:44
